BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	bank_transfer	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	ticket	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287313	357524	424416	491615	546569	595301	639723	694855	721509
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	digital_currency	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	debit_card	-	-	TPV	5.602.648,51	10.092.263,43	16.345.359,23	20.813.727,56	32.581.432,36	40.780.112,06	49.916.106,82	56.987.873,27	58.633.847,36	62.560.538,61	79.866.700,37	98.503.075,42	11419583	20044217	26816412	30238962	37628418	44668639	51741128	57524964	62653851	67329105	73131657	75936868
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	1x	1x	TPV	24.487.848,27	43.002.080,20	66.529.333,10	88.776.164,07	137.045.356,40	173.638.236,30	220.701.479,20	257.962.106,10	283.455.439,50	329.039.898,00	377.804.180,56	371.201.633,38	47998171	84363003	122629199	141829150	176487751	209508350	242680291	269808091	293864001	315792241	343007824	356165045
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	2 a 6x	TPV	14.760.806,70	22.861.104,66	31.510.433,78	40.115.911,07	37.848.196,21	55.595.500,80	73.310.748,67	85.185.032,43	93.913.146,79	103.223.515,20	108.403.996,82	108.640.511,69	25602082	40089830	55279838	69069406	85947805	102028514	118182924	131393896	143108889	153787727	167041449	173448886
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	7 a 12x	TPV	13.281.031,14	17.574.032,99	22.980.984,56	28.066.535,75	25.468.125,99	35.406.278,64	46.887.674,37	53.637.277,40	59.556.206,13	64.986.390,79	65.347.566,99	69.092.887,44	22229914	30258126	39101038	48655390	60545243	71873169	83253013	92559377	100811910	108334532	117671010	122184678
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	31.036,56	0	130	0	117	566252	704627	836462	968900	1077208	1173251	1260800	1369458	1421988
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	2 a 6x	TPV	5.014.256,33	8.805.761,49	12.824.176,78	18.125.287,55	56.280.655,59	70.479.982,56	80.082.214,99	86.126.299,14	101.767.428,85	118.939.955,47	142.022.525,66	141.186.424,29	13458956	22359316	33753790	32146165	40001680	47485936	55004494	61153122	66605494	71575620	77744145	80726283
