SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	ticket	-	FORECAST 4+8		-																	3.167.343	3.753.765	4.452.470	5.239.352	6.005.634	7.316.147	9.373.083	8.635.638
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	ticket	-	PLANO V5		-													551.915	1.022.204	1.685.687	2.343.564	3.041.215	3.679.940	4.345.901	5.064.161	5.785.271	7.017.511	9.215.948	8.240.365
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	account_money	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	account_money	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	account_money	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	bank_transfer	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	bank_transfer	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	bank_transfer	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	consumer_credits	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	consumer_credits	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	1x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	1x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	1x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	2 a 6x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	2 a 6x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	2 a 6x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	7 a 12x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
