BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	2 a 6x	TPV	0,00	0,00	0,00	0,00	0,00	48,90	0,00	36,12	525,78	587,00	552,98	0,00	0,00	0,00	0,00	146,73	165,53	197,52	234,16	267,10	293,07	332,53	365,39	469,05
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	7 a 12x	TPV	56,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	account_money	-	-	TPV	64.203.854,73	58.532.527,96	64.604.197,44	58.299.225,19	60.062.071,09	54.808.342,98	55.083.298,52	51.435.058,27	47.905.408,23	46.054.630,56	45.537.639,67	56.814.144,01	85.050.183,94	75.658.817,57	77.866.400,46	71.052.725,17	67.395.223,68	61.021.573,63	60.922.175,72	58.230.616,41	52.333.647,64	52.653.020,64	50.478.837,73	54.587.104,87
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	bank_transfer	-	-	TPV	915.028.436,90	851.045.560,50	905.212.333,00	841.659.583,80	846.374.390,90	797.175.797,70	792.748.617,10	760.874.046,40	679.582.092,10	688.990.983,30	693.830.118,40	846.503.666,00	1.096.528.325,00	952.352.256,50	995.608.361,40	966.997.400,01	918.405.087,20	832.819.671,10	833.807.347,80	797.808.427,30	717.471.722,60	722.748.521,80	694.553.033,80	754.677.069,90
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	ticket	-	-	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	digital_currency	-	-	TPV	35.624.851,67	30.095.152,36	35.783.510,05	31.646.212,54	29.648.337,91	19.727.221,27	13.972.534,67	8.809.115,16	6.957.328,70	5.695.825,76	4.172.983,92	3.131.364,32	5.283.775,82	3.743.459,38	3.772.346,14	4.531.558,89	4.358.305,37	4.010.431,19	4.122.646,96	3.983.003,21	3.602.783,18	3.670.274,75	3.602.235,15	4.077.622,35
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	debit_card	-	-	TPV	5.388,58	7.396,14	8.024,36	7.839,04	4.971,47	6.072,07	7.206,46	6.767,73	4.057,08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	1x	1x	TPV	8.220.616,74	7.122.050,17	7.860.315,95	7.016.297,74	6.465.337,61	5.537.672,00	5.728.046,82	5.030.702,45	4.509.703,37	4.614.808,18	4.148.207,51	3.549.957,76	5.045.070,20	4.220.478,83	4.179.121,27	4.452.544,59	4.278.066,75	3.932.111,45	4.033.984,06	3.894.510,36	3.521.211,94	3.584.193,26	3.512.344,13	3.964.348,43
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	2 a 6x	TPV	2.163.030,30	1.874.985,22	1.835.323,89	1.756.612,59	1.141.647,38	1.412.578,20	1.453.895,85	1.194.511,40	1.046.267,31	1.045.561,77	894.480,15	835.212,98	1.206.750,21	1.027.799,40	991.095,03	1.055.996,47	1.014.663,29	932.660,15	956.914,14	923.860,75	835.323,44	850.297,56	833.312,81	940.680,95
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	7 a 12x	TPV	1.260.646,18	1.294.807,31	1.114.492,64	928.144,92	675.562,28	837.566,38	898.823,31	741.638,50	688.176,29	757.753,20	508.050,87	448.559,37	633.297,64	608.727,60	579.722,36	606.381,92	586.084,48	542.353,54	563.071,04	545.924,66	494.847,78	506.145,26	500.437,14	574.311,73
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	2 a 6x	TPV	1.434.005,47	1.126.643,24	1.234.146,25	1.091.043,28	1.506.854,44	939.201,30	844.073,43	751.496,22	808.863,04	739.456,67	673.863,38	577.976,54	597.749,78	475.066,74	498.002,56	598.550,26	578.883,12	536.076,52	557.253,68	540.525,12	490.082,60	501.523,20	496.322,01	570.551,26
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	7 a 12x	TPV	297.040,42	363.250,79	323.052,95	227.690,72	510.775,53	284.124,28	265.185,57	265.389,93	204.933,15	147.471,94	118.342,80	130.535,05	174.680,21	133.374,64	132.109,44	144.149,79	139.554,24	129.382,68	134.761,14	130.807,55	118.649,74	121.515,61	120.428,79	138.806,49
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	1x	TPV	3.351,26	3.230,21	2.949,19	3.477,94	3.435,15	3.513,22	6.344,49	8.446,89	3.876,38	4.533,58	5.537,57	5.522,74	6.118,28	5.142,58	5.626,35	5.673,99	5.470,08	5.047,21	5.213,46	5.045,55	4.568,58	4.663,32	4.593,44	5.234,97
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	2 a 6x	TPV	2.467,32	2.352,26	2.184,11	3.352,34	2.930,56	2.208,44	3.064,18	4.695,18	3.647,43	2.868,02	4.213,35	7.393,68	4.693,60	5.479,47	5.253,97	5.173,84	5.002,55	4.631,32	4.811,94	4.666,65	4.230,72	4.328,66	4.282,22	4.919,43
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	7 a 12x	TPV	1.778,79	3.820,41	3.820,01	3.840,40	2.104,62	5.021,13	4.790,85	6.870,20	4.146,64	4.903,30	5.499,18	6.455,43	3.388,70	5.047,10	5.169,21	5.234,10	5.071,79	4.706,96	4.911,39	4.770,28	4.328,51	4.436,19	4.402,15	5.085,83
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	account_money	-	-	TPV	129.271.354,20	107.098.047,60	108.117.739,10	94.305.283,12	101.734.694,10	93.999.766,53	96.543.319,71	99.410.872,45	91.468.946,18	93.725.082,99	92.511.813,05	112.178.971,10	239.231.933,00	210.429.782,50	227.824.495,80	189.801.358,62	192.183.717,66	179.448.308,90	186.717.456,03	185.633.075,01	172.258.658,66	180.985.723,34	179.393.125,90	203.230.563,80
